Date,GREEN LEAF (Kg),MADE TEA (Kg),NETT OUT TURN,NETT SALE AVERAGE (Rs),LOW GROWN AVERAGE (Rs),DIFFERENCE (Rs),BOUGHT LEAF RATE (Rs)
30-Apr-1997,417935,94143,22.53,145.17,120.31,24.86,20.76
31-May-1997,510033,109461,21.46,150.33,129.36,20.97,21.70
30-Jun-1997,436533,97275,22.28,160.32,135.69,24.63,23.10
31-Jul-1997,475422,98949,20.81,158.19,131.57,26.62,22.70
31-Aug-1997,441680,97419,22.06,161.18,138.90,22.28,23.50
30-Sep-1997,435611,92880,21.32,166.17,138.62,27.55,24.00
31-Oct-1997,520946,115348,22.14,165.27,142.06,23.21,24.00
30-Nov-1997,478637,98313,20.54,160.17,139.15,21.02,23.40
31-Dec-1997,432548,95754,22.14,166.23,143.56,22.67,24.20
31-Jan-1998,463196,105657,22.81,170.30,147.10,23.20,24.70
28-Feb-1998,337199,79846,23.68,170.01,145.60,24.41,24.60
31-Mar-1998,380441,82348,21.65,171.65,143.89,27.76,24.70
30-Apr-1998,388397,89258,22.98,168.37,140.11,28.26,24.13
31-May-1998,384260,84920,22.09,174.05,145.00,29.05,25.05
30-Jun-1998,406927,91243,22.42,185.58,149.02,36.56,26.75
31-Jul-1998,424486,91981,21.67,191.05,148.40,42.65,27.10
31-Aug-1998,459501,100352,21.84,200.46,151.29,49.17,28.13
30-Sep-1998,448862,98774,22.01,181.44,136.71,44.73,25.46
31-Oct-1998,402340,89076,22.14,175.28,134.23,41.05,25.00
30-Nov-1998,427366,94936,22.21,181.40,134.62,46.78,25.37
31-Dec-1998,440225,96658,21.96,165.17,122.28,42.89,23.10
31-Jan-1999,412253,94436,22.91,169.09,128.24,40.85,23.75
28-Feb-1999,373089,85858,23.01,151.14,112.23,38.91,21.15
31-Mar-1999,429208,99249,23.12,155.56,106.48,49.08,21.00
30-Apr-1999,333373,72047,21.61,168.16,114.36,53.80,22.37
31-May-1999,344982,80947,23.46,172.15,128.84,43.31,23.35
30-Jun-1999,413993,90157,21.78,183.17,126.01,57.16,24.40
31-Jul-1999,453687,101495,22.37,171.97,129.10,42.87,23.35
31-Aug-1999,473707,102869,21.72,164.15,129.40,34.75,22.54
30-Sep-1999,499675,106924,21.40,166.49,136.87,29.62,23.50
31-Oct-1999,445392,94008,21.11,162.62,135.00,27.62,22.80
30-Nov-1999,445794,96970,21.75,157.05,133.74,23.31,22.30
31-Dec-1999,516040,109570,21.23,156.18,134.21,21.97,22.00
31-Jan-2000,473040,106630,22.54,157.24,137.71,19.53,22.30
29-Feb-2000,490482,106191,21.65,166.12,136.11,30.01,23.00
31-Mar-2000,519651,116282,22.38,166.51,138.44,28.07,23.15
30-Apr-2000,429934,92535,21.52,169.96,139.54,30.42,23.48
31-May-2000,421381,92290,21.90,175.51,140.64,34.87,24.11
30-Jun-2000,427838,92217,21.55,175.40,134.52,40.88,23.90
31-Jul-2000,392144,93054,23.73,189.40,143.37,46.03,25.69
31-Aug-2000,505671,105438,20.85,182.22,144.13,38.09,25.10
30-Sep-2000,482195,106263,22.04,189.45,153.60,35.85,26.13
31-Oct-2000,567060,124040,21.87,192.24,157.67,34.57,26.57
30-Nov-2000,521845,112582,21.57,195.26,157.47,37.79,26.89
31-Dec-2000,566787,121341,21.41,200.40,158.23,42.17,27.47
31-Jan-2001,511178,110913,21.70,193.78,163.99,29.79,27.50
28-Feb-2001,418818,94816,22.64,200.80,164.85,35.95,28.05
31-Mar-2001,477417,111004,23.25,195.34,155.30,40.04,27.00
30-Apr-2001,454356,97987,21.57,190.43,149.19,41.24,26.20
31-May-2001,491698,105976,21.55,196.72,149.20,47.52,26.80
30-Jun-2001,497907,106367,21.36,204.55,145.06,59.49,27.55
31-Jul-2001,476788,109129,22.88,200.11,146.71,53.40,27.30
31-Aug-2001,518088,108790,20.99,194.00,146.03,47.97,27.00
30-Sep-2001,469919,107111,22.79,209.14,152.63,56.51,28.17
31-Oct-2001,625282,128026,20.47,210.97,159.07,51.90,28.63
30-Nov-2001,555984,114252,20.55,212.74,164.56,48.18,29.01
31-Dec-2001,619432,128282,20.71,196.70,160.10,36.60,27.50
31-Jan-2002,592737,129324,21.82,201.38,169.78,31.60,28.10
28-Feb-2002,453910,103201,22.74,205.70,170.73,34.97,28.60
31-Mar-2002,567814,124663,21.95,201.87,171.76,30.11,28.30
30-Apr-2002,435832,95321,21.87,193.02,163.80,29.22,27.00
31-May-2002,473399,101907,21.52,194.04,162.56,31.48,27.00
30-Jun-2002,504229,110570,21.93,197.73,159.15,38.58,27.21
31-Jul-2002,488575,102877,21.06,198.79,151.86,46.93,27.21
31-Aug-2002,593464,125050,21.07,209.89,158.51,51.38,28.50
30-Sep-2002,550894,119528,21.70,208.00,164.09,43.91,28.50
31-Oct-2002,631791,132773,21.02,203.15,163.09,40.06,28.00
30-Nov-2002,574193,118010,20.55,189.19,162.99,26.20,27.00
31-Dec-2002,581999,123497,21.22,194.46,160.72,33.74,27.00
31-Jan-2003,537281,115699,21.53,197.33,163.55,33.78,27.36
28-Feb-2003,506976,117490,23.17,177.28,147.46,29.82,24.58
31-Mar-2003,528189,118413,22.42,170.44,143.97,26.47,23.74
30-Apr-2003,452407,102478,22.65,166.91,146.22,20.69,22.00
31-May-2003,408808,88579,21.67,174.44,159.87,14.57,25.50
30-Jun-2003,386997,83795,21.65,190.41,164.98,25.43,27.30
31-Jul-2003,547884,115259,21.04,201.09,172.06,29.03,28.40
31-Aug-2003,578416,123181,21.30,191.30,170.38,20.92,27.60
30-Sep-2003,597616,125314,20.98,191.53,164.91,26.62,27.10
31-Oct-2003,734636,153868,20.94,187.82,165.26,22.56,26.70
30-Nov-2003,643280,134198,20.86,183.04,166.19,16.85,26.30
31-Dec-2003,596504,128248,21.50,185.18,165.48,19.70,26.42
31-Jan-2004,579838,117157,20.21,191.92,165.32,26.60,26.85
29-Feb-2004,530766,115141,21.65,193.04,165.54,27.50,27.00
31-Mar-2004,651823,142220,21.82,194.19,170.83,23.36,27.30
30-Apr-2004,592797,125699,21.20,191.83,172.50,19.33,27.20
31-May-2004,611170,126008,20.62,204.91,180.37,24.54,28.83
30-Jun-2004,578613,120743,20.87,203.37,169.70,33.67,28.40
31-Jul-2004,623465,132694,21.28,211.94,179.68,32.26,29.80
31-Aug-2004,668949,142441,21.29,229.35,196.27,33.08,32.05
30-Sep-2004,601346,122082,20.30,232.34,201.95,30.39,32.61
31-Oct-2004,707940,145445,20.54,252.10,221.21,30.89,35.45
30-Nov-2004,654391,137246,20.97,252.55,224.48,28.07,35.63
31-Dec-2004,668431,145533,21.77,246.54,228.39,18.15,35.43
31-Jan-2005,675443,144369,21.37,240.10,211.05,29.05,33.80
28-Feb-2005,516548,112805,21.84,228.07,200.47,27.60,32.10
31-Mar-2005,628005,138683,22.08,228.26,202.63,25.63,32.23
30-Apr-2005,675378,143007,21.17,223.13,200.52,22.61,31.60
31-May-2005,648822,145657,22.44,219.70,193.45,26.25,31.00
30-Jun-2005,583136,122144,20.95,210.94,180.61,30.33,29.60
31-Jul-2005,684054,142595,20.84,215.36,182.66,32.70,30.10
31-Aug-2005,611517,136391,22.30,224.27,191.82,32.45,31.50
30-Sep-2005,595373,128376,21.56,233.56,204.06,29.50,32.82
31-Oct-2005,552272,115217,20.86,237.14,210.12,27.02,33.60
30-Nov-2005,589957,118905,20.15,233.06,205.17,27.89,32.80
31-Dec-2005,590602,128868,21.48,234.24,205.06,29.18,32.89
31-Jan-2006,664476,143088,21.53,228.14,201.76,26.38,32.70
28-Feb-2006,618821,134947,21.81,232.00,198.02,33.98,32.50
31-Mar-2006,757151,164185,21.68,229.21,198.60,30.61,32.20
30-Apr-2006,631158,135110,21.21,225.95,197.03,28.92,31.74
31-May-2006,621645,134664,21.67,217.33,192.23,25.10,30.75
30-Jun-2006,665278,151932,22.84,215.59,191.87,23.72,30.60
31-Jul-2006,638699,137850,21.58,225.60,195.50,30.10,32.00
31-Aug-2006,607062,127244,20.96,228.86,199.52,29.34,32.28
30-Sep-2006,728865,153324,21.04,241.19,211.89,29.30,34.00
31-Oct-2006,649593,136511,21.01,245.60,219.21,26.39,34.80
30-Nov-2006,690012,142444,20.64,246.00,219.65,26.35,36.00
31-Dec-2006,585376,121614,20.78,256.30,229.65,26.65,36.35
31-Jan-2007,621718,136208,21.91,260.37,234.26,26.11,37.10
28-Feb-2007,396476,90164,22.74,275.70,249.21,26.49,39.25
31-Mar-2007,451733,102906,22.78,294.79,261.99,32.80,41.70
30-Apr-2007,593622,126221,21.26,301.31,273.27,28.04,42.90
31-May-2007,637808,139600,21.89,310.24,282.58,27.66,44.20
30-Jun-2007,606292,126347,20.84,313.60,286.12,27.48,44.70
31-Jul-2007,799327,167974,21.01,341.54,310.32,31.22,48.90
31-Aug-2007,740803,158128,21.35,348.36,311.51,36.85,49.65
30-Sep-2007,686079,141979,20.69,349.43,320.01,29.42,50.00
31-Oct-2007,688876,137687,19.99,385.45,349.77,35.68,55.20
30-Nov-2007,724776,154932,21.38,377.19,344.22,32.97,54.40
31-Dec-2007,698894,147244,21.07,380.36,357.47,22.89,55.45
31-Jan-2008,728331,154266,21.18,380.15,347.21,32.94,54.65
29-Feb-2008,687120,149882,21.81,371.70,341.65,30.05,54.00
31-Mar-2008,797426,167412,20.99,381.70,348.54,33.16,54.20
30-Apr-2008,634933,133412,21.01,371.70,344.80,26.90,53.20
31-May-2008,704967,154222,21.88,387.65,362.16,25.49,55.40
30-Jun-2008,672779,135340,20.12,403.51,382.22,21.29,58.50
31-Jul-2008,638866,134349,21.03,430.22,390.38,39.84,61.00
31-Aug-2008,656758,134329,20.45,396.23,356.69,39.54,57.00
30-Sep-2008,705264,155027,21.98,387.42,345.74,41.68,55.00
31-Oct-2008,540428,113167,20.94,312.23,261.15,51.08,44.60
30-Nov-2008,450592,96671,21.45,272.83,221.60,51.23,38.35
31-Dec-2008,446242,99173,22.22,248.85,225.46,23.39,38.00
31-Jan-2009,385565,88855,23.04,346.09,296.55,49.54,48.65
28-Feb-2009,219222,51224,23.37,338.72,307.59,31.13,48.30
31-Mar-2009,501262,110190,21.98,425.16,361.42,63.74,59.23
30-Apr-2009,521902,113342,21.71,455.40,378.88,76.52,63.16
31-May-2009,542760,118135,21.84,437.50,399.34,38.16,62.48
30-Jun-2009,551179,118218,21.44,471.17,407.16,64.01,66.20
31-Jul-2009,597987,130829,21.88,482.35,427.03,55.32,67.90
31-Aug-2009,650185,136576,21.00,484.53,419.43,65.10,68.02
30-Sep-2009,623258,131771,21.14,503.00,445.80,57.20,70.85
31-Oct-2009,665438,137143,20.60,468.94,410.80,58.14,65.90
30-Nov-2009,697673,139853,20.64,445.36,383.52,61.84,62.31
31-Dec-2009,632771,133092,20.03,441.41,381.23,60.18,62.00
31-Jan-2010,689773,151373,21.94,457.83,400.95,56.88,64.50
28-Feb-2010,604607,134769,22.29,456.68,393.79,62.89,63.96
31-Mar-2010,433415,98568,22.74,448.56,394.40,54.16,63.11
30-Apr-2010,618877,125934,20.35,446.39,386.56,59.83,62.53
31-May-2010,510384,112805,22.10,452.36,395.46,56.90,63.60
30-Jun-2010,645233,141047,21.85,446.93,371.90,75.03,62.40
31-Jul-2010,587775,136027,23.14,469.97,376.05,93.92,64.61
31-Aug-2010,594067,128279,21.59,479.63,401.49,78.14,66.63
30-Sep-2010,632121,136326,21.57,472.56,402.68,69.88,66.00
31-Oct-2010,695771,144707,20.79,474.96,398.17,76.79,66.02
30-Nov-2010,574935,127758,22.22,470.42,393.61,76.81,65.50
31-Dec-2010,627307,136318,21.73,476.97,400.17,76.80,66.51
31-Jan-2011,519775,113617,21.16,479.46,410.74,68.72,67.04
28-Feb-2011,532188,115125,21.63,478.80,408.67,70.13,66.90
31-Mar-2011,613743,137552,22.41,459.84,402.79,57.05,64.75
30-Apr-2011,491247,108841,22.16,447.11,386.27,60.84,62.62
31-May-2011,545096,121445,22.28,422.17,368.08,54.09,60.50
30-Jun-2011,559915,125612,22.43,445.15,366.68,78.47,62.00
