,BASE_MADE_TEA,OPT_MADE_TEA,PESS_MADE_TEA,BASE_PRICE,OPT_PRICE,PESS_PRICE,BASE_PROFIT_EST,OPT_PROFIT_EST,PESS_PROFIT_EST
2023-08-31,136287.58412119254,149916.3425333118,122658.8257090733,1287.3128634705672,1390.2978925482128,1184.327834392922,166211858.58758867,198272183.34135494,136958649.99655107
2023-09-30,123886.48778458135,136275.1365630395,111497.83900612322,1335.5726112566765,1442.4184201572107,1228.7268023561423,157066619.7043603,187333708.87390506,129446880.9346535
2023-10-31,121808.48147226349,133989.32961948984,109627.63332503714,1282.0002808570218,1384.5603033255836,1179.44025838846,147906503.22279868,176439102.20140097,121872440.36352775
2023-11-30,112202.87809046358,123423.16589950994,100982.59028141723,1244.1482641892974,1343.6801253244412,1144.6164030541536,131995750.37040338,157479862.81661355,108745190.1804059
2023-12-31,106679.3441461515,117347.27856076666,96011.40973153636,1269.9725713010635,1371.5703770051487,1168.3747655969785,128252771.17445996,153000274.2990259,105672945.50573404
2024-01-31,101011.2059622383,111112.32655846214,90910.08536601446,1266.7252673637993,1368.0632887529034,1165.3872459746954,121110369.2105298,144481309.45695737,99786684.11417037
2024-02-29,84668.60646247031,93135.46710871735,76201.74581622328,1214.9790884614156,1312.177415538329,1117.7807613845023,97134649.93038599,115900726.51791881,80014502.72367032
2024-03-31,105739.87143686601,116313.85858055262,95165.88429317942,1218.1127782462581,1315.561800505959,1120.6637559865576,121639664.01430787,145138302.20966664,100201875.23602696
2024-04-30,131348.3541888044,144483.18960768485,118213.51876992396,1318.3853861186476,1423.8562170081395,1212.914555229156,164269460.79708502,195935168.93428007,135374436.67034212
2024-05-31,159452.16636221478,175397.38299843625,143506.9497259933,1298.863810748811,1402.772915608716,1194.9547058889061,196304445.36621487,234160274.9649738,161762322.14239007
2024-06-30,134910.3686274307,148401.40549017378,121419.33176468762,1268.2291119936956,1369.6874409531913,1166.7707830342,161957655.8861876,193209980.09107995,133442887.79334503
2024-07-31,133695.959255563,147065.55518111933,120326.36333000672,1308.5332571368585,1413.2159177078074,1203.8505965659099,165888278.96060038,197872320.4513637,136703367.21432862
2024-08-31,126267.7040687495,138894.47447562448,113640.93366187456,1311.7645968497275,1416.7057645977059,1206.8234291017493,157079406.4070378,187363095.3929554,129445853.48388638
2024-09-30,114722.19118462579,126194.41030308837,103249.97206616322,1360.9009181820522,1469.7729916366166,1252.0288447274881,148353596.97688267,176928003.7826442,122277198.7362254
2024-10-31,112742.01218119836,124016.2133993182,101467.81096307852,1306.274259987205,1410.7762007861813,1201.7723191882285,139634198.85718855,166557553.7336762,115067195.79720432
2024-11-30,103799.24965562782,114179.17462119061,93419.32469006504,1267.6684241513183,1369.0818980834238,1166.2549502192128,124551075.52103171,148585489.82217032,102621989.71971773
2024-12-31,98639.22880280488,108503.15168308538,88775.30592252439,1293.943167246257,1397.4586206259576,1190.4277138665564,120951169.78220814,144278039.70003,99666436.7624956
2025-01-31,93350.16601254515,102685.18261379967,84015.14941129064,1290.5970227274806,1393.8447845456792,1187.3492609092823,114153371.38564585,136170723.80097827,94063658.111544
2025-02-28,78206.20163482337,86026.82179830571,70385.58147134104,1237.8397728279774,1336.8669546542158,1138.8125910017393,91508610.81340228,109178465.61889674,75387663.95775406
2025-03-31,97617.52191902918,107379.2741109321,87855.76972712627,1240.9965440094363,1340.2762675301913,1141.7168204886814,114529837.263148,136643405.6350555,94354557.008621
2025-04-30,121193.90257256353,133313.2928298199,109074.51231530718,1343.1141842760053,1450.5633190180858,1235.665049533925,154566880.45244414,184347966.4618703,127390230.43650557
2025-05-31,147045.09636508214,161749.60600159035,132340.58672857392,1323.188423878023,1429.043497788265,1217.3333499677813,184606692.21855837,220189377.93866506,152137100.40722457
2025-06-30,124344.39878652773,136778.83866518052,111909.95890787496,1291.9430017697746,1395.2984419113566,1188.5875616281926,152222074.02189666,181581118.4963805,125433363.56055723
2025-07-31,123156.31267288397,135471.94394017238,110840.68140559558,1332.9627050172799,1439.5997214186623,1226.3256886158974,155819457.63928846,185847727.31109264,128417792.3143707
2025-08-31,116247.82401630646,127872.60641793712,104623.04161467582,1336.2163302288877,1443.1136366471987,1229.3190238105767,147456947.3554199,175871879.2817282,121527331.28197822
2025-09-30,105557.8945846702,116113.68404313723,95002.10512620318,1386.2292251074277,1497.127563116022,1275.3308870988335,139176342.01532727,165970790.79729897,114723132.24798088
2025-10-31,103675.5428901332,114043.09717914654,93307.98860111988,1330.5482391173878,1436.9920982467788,1224.1043799879967,130921735.91886683,156153096.88157007,107897499.93267572
2025-11-30,95395.62122079206,104935.18334287127,85856.05909871285,1291.1885841133394,1394.4836708424066,1187.8934973842722,116711091.3015626,139221489.29605132,96171473.10058887
2025-12-31,90599.11345945825,99659.02480540409,81539.20211351244,1317.9137631914502,1423.3468642467662,1212.4806621361342,113264115.67746009,135097887.2785885,93340773.1733103
2026-01-31,85689.12606285198,94258.03866913718,77120.21345656678,1314.468778091162,1419.626280338455,1209.311275843869,106830608.61774097,127425609.3926903,88037778.73609623
2026-02-28,71743.79680717643,78918.17648789409,64569.41712645879,1260.7004571945392,1361.5564937701024,1159.844420618976,85587101.702391,102105186.36696991,70516176.03678298
2026-03-31,89495.17240119237,98444.6896413116,80545.65516107313,1263.8803097726145,1364.9907345544239,1162.7698849908054,107048270.62436247,127706882.07394512,88199438.154261
2026-04-30,111039.45095632267,122143.39605195496,99935.5058606904,1367.842982433363,1477.2704210280322,1258.415543838694,144362085.33896992,172164132.8440866,118990190.37407504
2026-05-31,134638.02636794953,148101.8290047445,121174.22373115458,1347.5130370072352,1455.3140799678142,1239.7119940466564,172305344.71540728,205501410.81802884,142012102.54570958
2026-06-30,113778.42894562476,125156.27184018726,102400.58605106229,1315.6568915458533,1420.9094428695216,1210.404340222185,141985371.6692366,169356925.76149857,117008911.56339979
2026-07-31,112616.66609020495,123878.33269922546,101354.99948118445,1357.3921528977012,1465.9835251295174,1248.8007806658852,145235680.82423732,173211367.04425943,119705834.26559676
